Requests/sec,Size/request,Status 200,Status 500,Concurrent requests,10th percentile,50th percentile,75th percentile,90th percentile,99th percentile,hello - Current replicas
859.9531,28 bytes,6000,0,500,0.0151,0.0496,0.0819,0.1659,5.9226,2
682.2339,25 bytes,5490,510,1000,0.0114,0.0264,0.3057,4.3221,7.3772,1
637.9099,28 bytes,6500,0,10,0.0092,0.0147,0.0186,0.0229,0.0336,1
658.4936,28 bytes,6500,0,20,0.0169,0.0283,0.0363,0.0446,0.0603,1
828.5105,28 bytes,6500,0,50,0.0113,0.0417,0.0742,0.1055,0.2808,2
775.2323,28 bytes,6391,49,70,0.0189,0.0583,0.0830,0.1143,0.8074,1
628.7816,28 bytes,6480,0,80,0.0456,0.0931,0.1246,0.1669,0.2602,1
839.6260,28 bytes,6500,0,100,0.0139,0.0514,0.0965,0.1387,1.1536,2
791.3995,28 bytes,6500,0,125,0.0095,0.0509,0.0924,0.1392,2.3548,2
676.2177,28 bytes,6480,0,135,0.0364,0.0758,0.0958,0.1377,3.1327,1
649.1823,28 bytes,6400,0,160,0.0370,0.0718,0.0968,0.1282,4.3552,1
848.5884,28 bytes,6480,0,180,0.0159,0.0539,0.0898,0.1323,3.1505,2
734.8137,27 bytes,6297,103,200,0.0230,0.0606,0.1006,0.1560,3.4343,1
669.2959,28 bytes,6300,0,300,0.0269,0.0442,0.0600,0.0822,7.0008,1
667.0941,28 bytes,6400,0,400,0.0227,0.0391,0.0542,0.0779,8.0505,1
877.9105,28 bytes,6500,0,500,0.0183,0.0501,0.0796,0.1542,5.7233,2
727.0241,27 bytes,5845,155,1000,0.0159,0.0351,0.1019,3.1506,6.4250,1
606.6221,28 bytes,7000,0,10,0.0096,0.0155,0.0197,0.0243,0.0351,1
648.9444,28 bytes,7000,0,20,0.0178,0.0282,0.0365,0.0459,0.0608,1
616.0344,28 bytes,7000,0,50,0.0435,0.0699,0.0852,0.1188,0.1610,1
700.6001,28 bytes,7000,0,70,0.0404,0.0798,0.0995,0.1345,0.2047,1
